Year,Artist,Song Title,Reason
2013,2 Chainz,I'm Different,Language
2016,2 Chainz,Watch Out,Language
2012,2 Chainz feat. Drake,No Lie,Language / Content
2010,2 Pistols ft. Jason Derulo,Redonkulous,Sexual Content
2019,21 Savage,A lot,Language
2019,21 Savage,Can’t leave without it,Language
2021,"21 Savage, Metro Boomin",RIP Luv,Language
2021,"21 Savage, Metro Boomin",Snitches & Rats (feat. Young Nudy),Language
2021,"21 Savage, Metro Boomin",Brand New Draco,Language / Content
2021,"21 Savage, Metro Boomin",Glock In My Lap,Language / Content
2021,"21 Savage, Metro Boomin",Many Men,Language / Content
2021,"21 Savage, Metro Boomin",Mr. Right Now (feat. Drake),Language / Content
2021,"21 Savage, Metro Boomin",My Dawg,Language / Content
2021,"21 Savage, Metro Boomin",No Opp Left Behind,Language / Content
2021,"21 Savage, Metro Boomin",Rich ni**a Sh*t (feat. Young Thug),Language / Content
2021,"21 Savage, Metro Boomin",Runnin,Language / Content
2021,"21 Savage, Metro Boomin",Slidin,Language / Content
2021,"21 Savage, Metro Boomin",Steppin On ni**as,Language / Content
2019,22Gz ft. Kodak Black,Spin the Block,Language / Content
2021,24kGoldn,CITY OF ANGELS,Language
2019,24kGoldn,Valentino,Language / Content
2020,24kGoldn Featuring iann dior,Mood,Language
2021,347aidan,Dancing in My Room,Language
2010,3OH!3 ft. Kesha,My First Kiss,Sexual Content
2016,5 Seconds Of Summer,Jet Black Heart,Drinking / Drugs / Partying
2021,5 Seconds of Summer,Old Me,Language
2021,5 Seconds of Summer,No Shame,Sexual Content
2016,5 Seconds Of Summer,Girls Talk Boys,Sexual Content
2014,5 Seconds of Summer,Good Girls,Sexual Content
2014,5 Seconds of Summer,She Looks so Perfect,Sexual Content
Year,Artist,Song Title,Reason
2019,5 Seconds Of Summer,Teeth,Violence
2019,5 Seconds of Summer,Youngblood,Drinking / Drugs / Partying
2013,50 Cent ft. Eminem & Adam Levine,My Life,Language
2018,6IX9INE,FEFE,Language / Content
2021,6ix9ine,GOOBA,Language / Content
2021,6ix9ine,PUNANI,Language / Content
2021,6ix9ine,TROLLZ (with Nicki Minaj),Language / Content
2021,6ix9ine,YAYA,Language / Content
2017,A Boogie wit Da Hoodie,My Sh*t,Language
2019,A Boogie Wit da Hoodie,Look Back At It,Language / Content
2021,A Boogie Wit da Hoodie,Bleed,Language / Content
2021,A Boogie Wit da Hoodie,King Of My City,Language / Content
2021,A Boogie Wit da Hoodie,Might Not Give Up (feat. Young Thug),Language / Content
2021,A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",Language / Content
2019,A Boogie Wit da Hoodie feat. 6ix9ine,Swervin,Language / Content
2019,A Boogie Wit da Hoodie ft. Juice Wrld,Deamons and Angels,Language / Content
2019,"A Boogie Wit da Hoodie,Offset and Tyga)",Startender,Language
2018,A$AP Ferg,Plain Jane REMIX,Language / Content
2021,A$AP Ferg,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),Language / Content
2012,A$AP Rocky,Goldie,Drinking / Drugs / Partying
2013,A$AP Rocky,Long Live A$ap,Language / Content
2013,A$AP Rocky Featuring Skrillex & Birdy Nam Nam,Wild for the Night,Language
2013,"A$AP Rocky ft. Drake, 2 Chainz and Kendrick Lamar",F**kin Problems,Language
2019,A$ton Wyld,Next Level,Language
2016,Aaron Carter,Fool's Gold,Language
2013,Ace Hood feat. Future and Rick Ross,Bugatti,Language
2015,Adam Lambert,Another Lonely Night,Language
2015,Adam Lambert,Ghost Town,Language
2016,Adelitas Way,Bad Reputation,Drinking / Drugs / Partying
2014,Aer,Says She Loves Me,Drinking / Drugs / Partying
Year,Artist,Song Title,Reason
2015,Afrojack ft. Mike Taylor,SummerThing!,Sexual Content
2015,Aggro Santos ft. Andreea Banica,Red Lips,Sexual Content
2019,AJ Tracey,Psych Out!,Language
2017,AJR,Weak,Drinking / Drugs / Partying
2019,AJR,Dear Winter,Language
2016,AJR,I'm Not Famous,Language
2020,AJR,Bang!,Violence
2019,"Alan Walker, A$AP Rocky",Live Fast (PUBGM),Language
2015,Alessia Cara,Here,Drinking / Drugs / Partying
2016,Alessia Cara ft G-Eazy,Wild Things,Language
2021,Ali Gatie,It's You,Content - Sad
2013,Alicia Keys feat. Nicki Minaj,Girl On Fire,Language
2015,AlunaGeorge & DJ Snake,You Know You lIke it,Sexual Content
2016,AlunaGeorge ft Popcaan,I'm In Control,Sexual Content
2015,Alyxx Dione f./Jason Derulo,Chingalinga,Sexual Content
2017,Amos Lee,Vaporize,Drinking / Drugs / Partying
2016,Andy Grammer,Good To Be Alive (Hallelujah),Violence
2019,"Anitta, Lexa & Luísa Sonza",Combatchy (feat. MC Rebecca),Language
2021,Anne-Marie,2002,Drinking / Drugs / Partying
2021,Anne-Marie,Birthday,Language
2016,Anne-Marie,Alarm,Sexual Content
2021,"Anne-Marie, KSI, Digital Farm Animals",Don't Play,Language
2021,"Anne-Marie, Little Mix",Kiss My (Uh Oh),Sexual Content
2021,"Anne-Marie, Niall Horan",Our Song,Language
2019,Anuel AA & Daddy Yankee & Karol G,China feat. J Balvin & Ozuna,Drinking / Drugs / Partying
2019,Anuell AA,Secreto ft. Karol G,Sexual Content
2019,Apache 207,Roller,Language
2021,Arctic Monkeys,Why'd You Only Call Me When You're High?,Drinking / Drugs / Partying
2021,Arctic Monkeys,Do I Wanna Know?,Sexual Content
2015,Ariana Grande,One Last Time,Content - Sad
Year,Artist,Song Title,Reason
2020,Ariana Grande,7 Rings,Language
2019,Ariana Grande,Boyfriend,Language
2019,Ariana Grande,"Break up with your girlfriend, i'm bored",Language
2016,Ariana Grande,Focus,Language
2019,Ariana Grande,"Thank You, Next",Language
2021,Ariana Grande,Six thirty,Language
2021,Ariana Grande,love language,Language
2021,Ariana Grande,motive (with Doja Cat),Language
2021,Ariana Grande,safety net (feat. Ty Dolla $ign),Language
2021,Ariana Grande,Shut up,Language
2021,Ariana Grande,test drive,Language
2021,Ariana Grande,"thank u, next",Language
2021,Ariana Grande,nasty,Language / Content
2021,Ariana Grande,34+35,Sexual Content
2021,Ariana Grande,just like magic,Sexual Content
2021,Ariana Grande,my hair,Sexual Content
2021,Ariana Grande,obvious,Sexual Content
2021,Ariana Grande,off the table (with The Weeknd),Sexual Content
2021,Ariana Grande,pov,Sexual Content
2021,Ariana Grande,west side,Sexual Content
2018,Ariana Grande,God is a woman,Sexual Content
2020,Ariana Grande,Positions,Sexual Content
2020,Ariana Grande & Justin Bieber,Stuck With U,Sexual Content
2019,Ariana Grande & Miley Cyrus,Don't Call me Angel,Sexual Content
2014,Ariana Grande f./The Weeknd,Love Me Harder,Sexual Content
2013,Ariana Grande feat. Mac Miller,The Way,Sexual Content
2016,Ariana Grande feat. Nicki Minaj,Side To Side,Sexual Content
2019,Arizona Zervas,Roxanne,Language
2021,Arizona Zervas,FML,Language
2015,AronChupa,I'm An Albatraoz,Language / Content
Year,Artist,Song Title,Reason
2021,Ashnikko,Daisy,Language / Content
2021,Ashnikko,Slumber Party (feat. Princess Nokia),Language / Content
2016,Audiodamn!,Don't Call Me When It's Over,Language
