Year,Artist,Title,Reason
2013,2 Chainz,I'm Different,language
2016,2 Chainz,Watch Out,language
2012,2 Chainz feat. Drake,No Lie,language
2010,2 Pistols ft. Jason Derulo,Redonkulous,content - sexual
2019,21 Savage,A lot,language
2019,21 Savage,Can’t leave without it,language
2021,"21 Savage, Metro Boomin",RIP Luv,language
2021,"21 Savage, Metro Boomin",Snitches & Rats (feat. Young Nudy),language
2021,"21 Savage, Metro Boomin",Brand New Draco,language
2021,"21 Savage, Metro Boomin",Glock In My Lap,language
2021,"21 Savage, Metro Boomin",Many Men,language
2021,"21 Savage, Metro Boomin",Mr. Right Now (feat. Drake),language
2021,"21 Savage, Metro Boomin",My Dawg,language
2021,"21 Savage, Metro Boomin",No Opp Left Behind,language
2021,"21 Savage, Metro Boomin",Rich ni**a Sh*t (feat. Young Thug),language
2021,"21 Savage, Metro Boomin",Runnin,language
2021,"21 Savage, Metro Boomin",Slidin,language
2021,"21 Savage, Metro Boomin",Steppin On ni**as,language
2019,22Gz ft. Kodak Black,Spin the Block,language
2021,24kGoldn,CITY OF ANGELS,language
2019,24kGoldn,Valentino,language
2020,24kGoldn Featuring iann dior,Mood,language
2021,347aidan,Dancing in My Room,language
2010,3OH!3 ft. Kesha,My First Kiss,content - sexual
2016,5 Seconds Of Summer,Jet Black Heart,drinking / drugs / partying
2021,5 Seconds of Summer,Old Me,language
2021,5 Seconds of Summer,No Shame,content - sexual
2016,5 Seconds Of Summer,Girls Talk Boys,content - sexual
2014,5 Seconds of Summer,Good Girls,content - sexual
2014,5 Seconds of Summer,She Looks so Perfect,content - sexual
2019,5 Seconds Of Summer,Teeth,violence
2019,5 Seconds of Summer,Youngblood,drinking / drugs / partying
2013,50 Cent ft. Eminem & Adam Levine,My Life,language
2018,6IX9INE,FEFE,language
2021,6ix9ine,GOOBA,language
2021,6ix9ine,PUNANI,language
2021,6ix9ine,TROLLZ (with Nicki Minaj),language
2021,6ix9ine,YAYA,language
2017,A Boogie wit Da Hoodie,My Sh*t,language
2019,A Boogie Wit da Hoodie,Look Back At It,language
2021,A Boogie Wit da Hoodie,Bleed,language
2021,A Boogie Wit da Hoodie,King Of My City,language
2021,A Boogie Wit da Hoodie,Might Not Give Up (feat. Young Thug),language
2021,A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",language
2019,A Boogie Wit da Hoodie feat. 6ix9ine,Swervin,language
2019,A Boogie Wit da Hoodie ft. Juice Wrld,Deamons and Angels,language
2019,"A Boogie Wit da Hoodie,Offset and Tyga)",Startender,language
2018,A$AP Ferg,Plain Jane REMIX,language
2021,A$AP Ferg,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),language
2012,A$AP Rocky,Goldie,drinking / drugs / partying
2013,A$AP Rocky,Long Live A$ap,language
2013,A$AP Rocky Featuring Skrillex & Birdy Nam Nam,Wild for the Night,language
2013,"A$AP Rocky ft. Drake, 2 Chainz and Kendrick Lamar",F**kin Problems,language
2019,A$ton Wyld,Next Level,language
2016,Aaron Carter,Fool's Gold,language
2013,Ace Hood feat. Future and Rick Ross,Bugatti,language
2015,Adam Lambert,Another Lonely Night,language
2015,Adam Lambert,Ghost Town,language
2016,Adelitas Way,Bad Reputation,drinking / drugs / partying
2014,Aer,Says She Loves Me,drinking / drugs / partying
2015,Afrojack ft. Mike Taylor,SummerThing!,content - sexual
